,Unnamed: 0,Years,Real_Median_Household_Income,Consumer_Price_Index_Percent_Change,Labour_Force_Participation_Rate,Unemployment_Rate,Real_Disposable_Income_Percent_Change 
7,7,2013,64600,0.938291897815215,66.4583333333333,7.1,3.18251040077242
8,8,2014,66300,1.90663590717872,65.9916666666666,6.9,1.22449859703575
9,9,2015,66400,1.12524136094281,65.8499999999999,6.9,3.36078014088223
10,10,2016,66100,1.42875954701079,65.7,7.0,3.19733768274955
11,11,2017,68100,1.6739782217549797,66.65984848484845,7.045454545454546,3.19733768274955
12,12,2018,68400,1.6739782217549797,66.65984848484845,7.045454545454546,3.19733768274955
13,13,2019,69300,1.6739782217549797,66.65984848484845,7.045454545454546,3.19733768274955
21,21,2013,87500,1.43625393494229,73.1416666666666,4.6,4.93358655948298
22,22,2014,88400,2.56675502683132,72.7166666666666,4.7,3.71526557647648
23,23,2015,87900,1.15355521936459,73.0166666666666,6.0,2.83789613375759
24,24,2016,83700,1.07808313080327,72.5166666666666,8.1,4.737295307655403
25,25,2017,84000,2.058456664307848,73.47499999999995,5.190909090909091,4.737295307655403
26,26,2018,82400,2.058456664307848,73.47499999999995,5.190909090909091,4.737295307655403
27,27,2019,82700,2.058456664307848,73.47499999999995,5.190909090909091,4.737295307655403
35,35,2013,66000,-0.0636672325976255,64.0416666666666,6.6,4.91821161036196
36,36,2014,66200,0.99808876619241,63.3333333333333,6.1,1.69906808002903
37,37,2015,67000,1.07933837959068,63.375,6.2,4.55725900165054
38,38,2016,68300,1.87907363749827,64.4166666666666,6.0,3.647195843985052
39,39,2017,72100,1.2977719399848393,64.91363636363631,6.2,3.647195843985052
40,40,2018,70400,1.2977719399848393,64.91363636363631,6.2,3.647195843985052
41,41,2019,74800,1.2977719399848393,64.91363636363631,6.2,3.647195843985052
49,49,2013,66500,1.05407255304585,66.2583333333333,7.6,2.5108985199636
50,50,2014,69000,2.30967217556218,65.8416666666666,7.3,0.572353828911577
51,51,2015,70600,1.21813968884476,65.2333333333333,6.8,3.51024816103476
52,52,2016,69900,1.78559748839033,64.9916666666666,6.5,2.6511904813538085
53,53,2017,72100,1.775842860680688,66.54015151515148,7.372727272727272,2.6511904813538085
54,54,2018,73500,1.775842860680688,66.54015151515148,7.372727272727272,2.6511904813538085
55,55,2019,73000,1.775842860680688,66.54015151515148,7.372727272727272,2.6511904813538085
63,63,2013,55000,0.779794355116965,65.0333333333333,7.6,1.62276054159454
64,64,2014,56400,1.38318268967405,64.6833333333333,7.7,1.08467806671296
65,65,2015,55400,1.07388896393353,64.7916666666666,7.6,2.41439153788125
66,66,2016,56800,0.694954894754421,64.575,7.1,2.665919368849003
67,67,2017,58000,1.4790709271128213,65.1030303030303,7.709090909090909,2.665919368849003
68,68,2018,58200,1.4790709271128213,65.1030303030303,7.709090909090909,2.665919368849003
69,69,2019,59800,1.4790709271128213,65.1030303030303,7.709090909090909,2.665919368849003
